state_abbr,total_pe_ct
AK,61595.0
AL,492869.0
AR,287583.0
AZ,613440.0
CA,3575091.0
CO,534069.0
CT,337775.0
DC,177811.0
DE,109660.0
FL,2218211.0
GA,1382015.0
HI,133190.0
IA,254235.0
ID,129359.0
IL,1527617.0
IN,533939.0
KS,341122.0
KY,360786.0
LA,667646.0
MA,660816.0
MD,663927.0
ME,95838.0
MI,944841.0
MN,410984.0
MO,619139.0
MS,270219.0
MT,92952.0
NC,968153.0
ND,57933.0
NE,159381.0
NH,109139.0
NJ,1289041.0
NM,188150.0
NV,242214.0
NY,2777644.0
OH,1085467.0
OK,365293.0
OR,321937.0
PA,1014837.0
PR,13292.0
RI,103238.0
SC,464204.0
SD,72421.0
TN,775937.0
TX,2513834.0
UT,222350.0
VA,749313.0
VT,49052.0
WA,474330.0
WI,576179.0
WV,149937.0
WY,67783.0
