Region,State,Arrests
South,Alabama,5487304
West,Alaska,1114635
West,Arizona,9134338
South,Arkansas,5275243
West,California,50037532
West,Colorado,8068648
Northeast,Connecticut,5020346
South,Delaware,1098684
South,District of Columbia,679884
South,Florida,5949295
South,Georgia,8895162
West,Hawaii,1736080
West,Idaho,2136278
Midwest,Illinois,8499091
Midwest,Indiana,6000528
Midwest,Iowa,3322273
Midwest,Kansas,2122183
South,Kentucky,4464964
South,Louisiana,6049468
Northeast,Maine,1680930
South,Maryland,8688156
Northeast,Massachusetts,4476015
Midwest,Michigan,11437531
Midwest,Minnesota,6038824
South,Mississippi,2933810
Midwest,Missouri,8966219
West,Montana,682190
Midwest,Nebraska,2628960
West,Nevada,4145496
Northeast,New Hampshire,1289674
Northeast,New Jersey,12044323
West,New Mexico,2564091
Northeast,New York,23802942
South,North Carolina,14055283
Midwest,North Dakota,893316
Midwest,Ohio,10498265
South,Oklahoma,4895932
West,Oregon,4560658
Northeast,Pennsylvania,13105570
Northeast,Rhode Island,1278629
South,South Carolina,6259788
Midwest,South Dakota,1070771
South,Tennessee,8871057
South,Texas,33513206
West,Utah,4167959
Northeast,Vermont,374744
South,Virginia,11961997
West,Washington,7526122
South,West Virginia,1840905
Midwest,Wisconsin,10537255
West,Wyoming,1037690
