Region,State,Police_Employment
South,Alabama,492869
West,Alaska,61595
West,Arizona,613440
South,Arkansas,287583
West,California,3575091
West,Colorado,534069
Northeast,Connecticut,337775
South,Delaware,109660
South,District of Columbia,177811
South,Florida,2218211
South,Georgia,1382015
West,Hawaii,133190
West,Idaho,129359
Midwest,Illinois,1527617
Midwest,Indiana,533939
Midwest,Iowa,254235
Midwest,Kansas,341122
South,Kentucky,360786
South,Louisiana,667646
Northeast,Maine,95838
South,Maryland,663927
Northeast,Massachusetts,660816
Midwest,Michigan,944841
Midwest,Minnesota,410984
South,Mississippi,270219
Midwest,Missouri,619139
West,Montana,92952
Midwest,Nebraska,159381
West,Nevada,242214
Northeast,New Hampshire,109139
Northeast,New Jersey,1289041
West,New Mexico,188150
Northeast,New York,2777644
South,North Carolina,968153
Midwest,North Dakota,57933
Midwest,Ohio,1085467
South,Oklahoma,365293
West,Oregon,321937
Northeast,Pennsylvania,1014837
Northeast,Puerto Rico,127781
Northeast,Rhode Island,103238
South,South Carolina,464204
Midwest,South Dakota,72421
South,Tennessee,775937
South,Texas,2513834
West,Utah,222350
Northeast,Vermont,49052
South,Virginia,749313
West,Washington,474330
South,West Virginia,149937
Midwest,Wisconsin,576179
West,Wyoming,67783
