Region,State,Crimes
West,Alaska,1951539
South,Alabama,13138229
South,Arkansas,7780666
West,Arizona,19310976
West,California,101475484
West,Colorado,12500607
Northeast,Connecticut,7997444
South,District of Columbia,3239267
South,Delaware,2316661
South,Florida,61686681
South,Georgia,27000373
West,Hawaii,4158319
Midwest,Iowa,6487422
West,Idaho,2705644
Midwest,Illinois,34839773
Midwest,Indiana,15732509
Midwest,Kansas,7732519
South,Kentucky,8066491
South,Louisiana,15909243
Northeast,Massachusetts,14625233
South,Maryland,16453480
Northeast,Maine,2437689
Midwest,Michigan,30071853
Midwest,Minnesota,11760580
Midwest,Missouri,16674221
South,Mississippi,5021252
West,Montana,2268613
South,North Carolina,24878333
Midwest,North Dakota,1129804
Midwest,Nebraska,4299302
Northeast,New Hampshire,2097060
Northeast,New Jersey,19325472
West,New Mexico,6584965
West,Nevada,6238886
Northeast,New York,45829369
Midwest,Ohio,30440434
South,Oklahoma,11036465
West,Oregon,11080813
Northeast,Pennsylvania,24097551
Northeast,Rhode Island,2482639
South,South Carolina,14071131
Midwest,South Dakota,1291828
South,Tennessee,17905890
South,Texas,74286010
West,Utah,6766971
South,Virginia,15315733
Northeast,Vermont,1165862
West,Washington,20410929
Midwest,Wisconsin,11855401
South,West Virginia,3134440
West,Wyoming,1169112
